datetime,open,high,low,close,volume,ema21,ema55,ema100,ema200,rsi14,atr14,vol_ma50,res50,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,bb_width,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,eric_score,eric_score_smoothed,eric_oversold,eric_overbought,eric_oversold2,eric_overbought2,donchian_high,donchian_low,donchian_mid,donchian_height,near_upper,near_lower,channel_trend,eye21,eye21_support,eye21_pressure,eye55,eye55_support,eye55_pressure,eye100,eye100_support,eye100_pressure,eye200,eye200_support,eye200_pressure,vol_ratio,vol_spike1,vol_spike2,bull_divergence,bear_divergence,divergence_strength,atr_sma,volatility_warning
2025-06-01 03:00:00,104144.0,104425.0,103930.0,104336.4,2927.375,104336.4,104336.4,104336.4,104336.4,,495.0,2927.375,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,,False,False,False,False,,,,,False,False,sideways,1,False,False,1,False,False,1,False,False,1,False,False,,False,False,False,False,0,,False
2025-06-01 04:00:00,104336.4,104700.0,104313.9,104587.8,2826.436,104359.25454545453,104345.37857142856,104341.37821782178,104338.90149253732,99.99999999960222,480.4800000000008,2876.9055,,20.05470085470006,4.010940170940012,16.04376068376005,,,,,,,,,13.333333331586132,7.631257631241735,0.0,,,False,False,False,False,,,,,False,False,sideways,1,True,False,1,True,False,1,True,False,1,True,False,,False,False,False,False,0,,False
2025-06-01 05:00:00,104587.8,104671.8,104386.7,104485.7,1942.554,104370.74958677684,104350.3900510204,104344.23607489461,104340.36217420362,96.97059608896602,454.42933333333485,2565.455,,27.39380037500814,8.687512211753639,18.706288163254502,,,,,,,,,24.888888885467953,6.992897563326548,0.0,,,False,False,False,False,,,,,False,False,sideways,1,True,False,1,True,False,1,True,False,1,True,False,,False,False,False,False,0,,False
2025-06-01 06:00:00,104485.7,104485.7,104138.0,104206.8,2853.904,104355.84507888804,104345.26183491253,104341.51456846105,104339.03319734588,89.03590850472177,440.1987555555565,2637.56725,,10.583194011996966,9.066648571802304,1.5165454401946619,,,,,,,,,22.80467913975961,6.256433120970585,7.532960868568206,,,False,False,False,False,,,,,False,False,sideways,1,False,True,1,False,True,1,False,True,1,False,True,,False,False,False,False,0,,False
2025-06-01 07:00:00,104206.8,104327.5,104148.0,104231.0,1846.784,104344.49552626186,104341.18105509422,104339.32616116479,104337.95824015836,89.11910516904483,405.4389214814823,2479.4106,,-0.777630848067929,7.097792687828258,-7.875423535896187,,,,,,,,,20.998364026806765,5.887111648786273,7.088285101386853,,,False,False,False,False,,,,,False,False,sideways,1,False,True,1,False,True,1,False,True,1,False,True,,False,False,False,False,0,,False
2025-06-01 08:00:00,104230.9,104349.1,104168.0,104342.7,1960.389,104344.33229660169,104341.23530312657,104339.3929698546,104338.00542184833,89.51459995140567,375.5270652839521,2392.907,,-0.759158805682091,5.526402389126188,-6.285561194808279,,,,,,,,,18.56736148883318,6.275488122465811,6.632503152747379,,,False,False,False,False,,,,,False,False,sideways,1,False,True,1,True,False,1,True,False,1,True,False,,False,False,False,False,0,,False
2025-06-01 09:00:00,104342.7,104410.5,103704.1,103888.0,7567.789,104302.84754236517,104325.0483280149,104330.45449520402,104333.5277559593,77.21149883749236,419.64345657942437,3132.1758571428572,,-37.0083996977628,-2.980558028251609,-34.02784166951119,,,,,,,,,24.181228743662068,4.866989315458041,19.88337096093695,,,False,False,False,False,,,,,False,False,sideways,1,False,True,1,False,True,1,False,True,1,False,True,,False,False,False,False,0,,False
2025-06-01 10:00:00,103888.0,103996.7,103727.1,103887.8,2955.11,104265.1159476047,104309.4323163001,104321.68905965541,104329.09265390995,77.2064723552255,399.6376623688333,3110.042625,,-65.00300837733084,-15.385048098067458,-49.617960279263386,,,,,,,,,29.046580364481468,4.429212651576604,18.094898613494202,,,False,False,False,False,,,,,False,False,sideways,1,False,True,1,False,True,1,False,True,1,False,True,,False,False,False,False,0,,False
2025-06-01 11:00:00,103887.8,104105.6,103800.7,104038.0,3072.25,104244.469043277,104299.73830500366,104316.07145451372,104326.19620959244,78.34654865680268,387.00597405299,3105.8434444444447,,-74.2135649396514,-27.15075146638425,-47.062813473267155,,,,,,,,,29.901604151095036,7.7158227479192405,16.19410639247526,,,False,False,False,False,,,,,False,False,sideways,1,False,True,1,False,True,1,False,True,1,False,True,,False,False,False,False,0,,False
2025-06-01 12:00:00,104038.0,104144.1,103708.6,103917.1,3159.511,104214.70822116091,104286.07265125353,104308.17102967185,104322.12560054177,75.09080512361899,393.47184417925797,3111.2102,,-90.22851877121138,-39.76630492734968,-50.462213843861704,,,,,,,,,31.785361145474422,6.577159043793348,16.925193575449253,,,False,False,False,False,,,,,False,False,sideways,1,False,True,1,False,True,1,False,True,1,False,True,,False,False,False,False,0,,False
